Time, Delta, Delat Prev, Data Id, Data Type, Data Count, Ip Address, Data
2019-05-08 13:22:53.298327,2.74155,2019-05-08 13:22:53.298327,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.300320,2.743543,2019-05-08 13:22:53.300320,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.302315,2.745538,2019-05-08 13:22:53.302315,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.305308,2.748531,2019-05-08 13:22:53.305308,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.309297,2.75252,2019-05-08 13:22:53.309297,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.311292,2.754515,2019-05-08 13:22:53.311292,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.314284,2.757507,2019-05-08 13:22:53.314284,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.318273,2.761496,2019-05-08 13:22:53.318273,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.320268,2.763491,2019-05-08 13:22:53.320268,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.322262,2.765485,2019-05-08 13:22:53.322262,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.325265,2.768488,2019-05-08 13:22:53.325265,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.329245,2.772468,2019-05-08 13:22:53.329245,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.331239,2.774462,2019-05-08 13:22:53.331239,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.334230,2.777453,2019-05-08 13:22:53.334230,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.338221,2.781444,2019-05-08 13:22:53.338221,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.340216,2.783439,2019-05-08 13:22:53.340216,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.343208,2.786431,2019-05-08 13:22:53.343208,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.345201,2.788424,2019-05-08 13:22:53.345201,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.349193,2.792416,2019-05-08 13:22:53.349193,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.351187,2.79441,2019-05-08 13:22:53.351187,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.354179,2.797402,2019-05-08 13:22:53.354179,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.356172,2.799395,2019-05-08 13:22:53.356172,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.360163,2.803386,2019-05-08 13:22:53.360163,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.363162,2.806385,2019-05-08 13:22:53.363162,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.365150,2.808373,2019-05-08 13:22:53.365150,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.369139,2.812362,2019-05-08 13:22:53.369139,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.371132,2.814355,2019-05-08 13:22:53.371132,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.373128,2.816351,2019-05-08 13:22:53.373128,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.376120,2.819343,2019-05-08 13:22:53.376120,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.380110,2.823333,2019-05-08 13:22:53.380110,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.382105,2.825328,2019-05-08 13:22:53.382105,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.385096,2.828319,2019-05-08 13:22:53.385096,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.387090,2.830313,2019-05-08 13:22:53.387090,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.391081,2.834304,2019-05-08 13:22:53.391081,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.394072,2.837295,2019-05-08 13:22:53.394072,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.396067,2.83929,2019-05-08 13:22:53.396067,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.400056,2.843279,2019-05-08 13:22:53.400056,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.402051,2.845274,2019-05-08 13:22:53.402051,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.405042,2.848265,2019-05-08 13:22:53.405042,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.407037,2.85026,2019-05-08 13:22:53.407037,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.411029,2.854252,2019-05-08 13:22:53.411029,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.414018,2.857241,2019-05-08 13:22:53.414018,0,b,0,('0.0.0.0', 11000),()
